売上日,品番,商品名,数量,売上単価,仕入単価,粗利,受注番号
2023/5/16 18:13,66045,バンス＆ハインズ■フューエルパックFP4 Vance&Hines　FUELPAK FP4【スポーツスター・ダイナ・ソフテイル・ツーリング・ストリート用】（6ピン）,1,67000,45964,31,77780
2023/5/16 18:13,,送料,1,600,,,75916
2023/5/16 18:13,945435,DMD■ヴィンテージ ヘルメット スター ゴールド,1,27390,15385,44,75916
2023/5/16 18:13,PV-KODO-TS-1,パインバレーオリジナル■低音バッフル 「鼓動」 バンス＆ハインズツインスラッシュ用 2本セット - 予約,1,23840,11555,52,2.02305E+16
2023/5/16 18:13,170-0499,【ゴールデンセール】S&S■カーボンティアドロップ ステルスエアクリーナー ツインカムケーブルスロットル用 [170-0499],1,55000,38961,29,77763
2023/5/16 18:13,KP-QR2,K&Pエンジニアリング■ハーレー用マイクロニック オイルフィルター用リプレイス O-Ring [KP-QR2],5,330,248,25,77704
2023/5/16 18:13,KP-S44-C,K&Pエンジニアリング■ハーレー用マイクロニック オイルフィルター S44シリーズ,1,31680,26928,15,77704
2023/5/16 18:13,,ポイント,1,-386,,,77704
2023/5/16 18:13,AGS005-3,グリーサー■60's ビンテージゴーグル ブラウンレザー ベルト幅1インチ（25mm） GREASER 60's VINTAGE GOGGLE BROWN LEATHER 1inch AGS005-3,1,7870,,,410178-20230515-0357523325
2023/5/16 18:13,,ポイント,1,-4210,,,410178-20230515-0218223305
